symbol,year,date,next_date,gap,abs_gap,gap_atr20,gap_up,day_abs_oc,day_range,rv5,rv20,median20_range,atr20,range20_ratio,same_dir_mfe,t1_distance,t2_distance,t1_hit,t2_hit,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
QQQ,2014,2014-12-08,2014-12-09,-0.011660074771422613,0.011660074771422613,1.3987995228440537,0.0,0.0045666763785207065,0.014175605129078379,0.00417248370837143,0.004833969505228159,0.007409171043300758,0.008335772625740697,1.9132511648378954,0.0035908651329046304,0.003704585521650379,0.0055568782824755684,0.0,0.0,212,106811.03526935604,0.24040826265653414,0.09713991196439113,0.014101476285647807
SPY,2014,2014-12-08,2014-12-09,-0.01084170895187464,0.01084170895187464,1.79054574744582,0.0,0.004385137063290467,0.010553211239003794,0.0050443343531855825,0.0035649126659430736,0.004917590968691041,0.006054974561437559,2.146012408553946,0.0022558552636797735,0.0024587954843455205,0.003688193226518281,0.0,0.0,362,330657.97728169255,0.24945490302377674,0.0729000529689363,0.013735663068549616
IWM,2014,2014-12-09,2014-12-10,-0.0036388280599024547,0.0036388280599024547,0.26574129682087805,0.0,0.027922747999623354,0.03070632226347732,0.011770681069500473,0.009753483302792005,0.013206329413573501,0.013693122233670718,2.3251216368961143,0.01886466209096649,0.0066031647067867506,0.009904747060180127,1.0,1.0,210,139025.77940312953,0.11761386995553655,0.020132609168521585,0.01868948572638011
SPY,2014,2014-12-09,2014-12-10,-0.002712246598938872,0.002712246598938872,0.4182584692830176,0.0,0.010275510856236236,0.013162413787130442,0.003942894347718718,0.003535054677490737,0.005342581534615573,0.006484618479066855,2.463680470171345,0.014684921371328485,0.0026712907673077865,0.00400693615096168,1.0,1.0,353,353844.237420805,0.30144731815396825,0.117237243534289,0.013054859838254551
IWM,2014,2014-12-10,2014-12-11,0.004755277580398953,0.004755277580398953,0.3267226835984465,1.0,0.017665994898919624,0.02208260702131105,0.01523104386919634,0.010888225362305486,0.014045785650849605,0.014554476377414171,1.5721873856145108,0.012649524415145885,0.0070228928254248025,0.010534339238137205,1.0,1.0,253,153700.52645989068,0.16585618571267158,0.046986717535244533,0.0187946190848584
QQQ,2014,2014-12-10,2014-12-11,0.002903911130069048,0.002903911130069048,0.30351653831582115,1.0,0.013935278526796435,0.018230372185864204,0.007540871605473071,0.006143705288618916,0.007871992884182449,0.009567554856096215,2.3158522186288195,0.013801759451325779,0.0039359964420912245,0.005903994663136836,1.0,1.0,242,108346.80165010548,0.14516717456321784,0.04728638013174456,0.01772777510208847
SPY,2014,2014-12-10,2014-12-11,0.0035440106700361795,0.0035440106700361795,0.4935874812315435,1.0,0.013355349186981003,0.014812311191848422,0.007097613951477937,0.00512916421045866,0.005854226643990983,0.007180106475134998,2.530190935988511,0.011330181985828025,0.0029271133219954913,0.004390669982993237,1.0,1.0,426,294848.1685883828,0.19569458486141533,0.1003575915084117,0.015820857885845748
IWM,2014,2014-12-11,2014-12-12,-0.011539820320272898,0.011539820320272898,0.7785182358932985,0.0,0.0007744285224992042,0.01557523081364168,0.015454296342402888,0.010875367838820954,0.014353505910062455,0.014822800273948255,1.0851168286852302,0.0015706833121504893,0.0071767529550312275,0.01076512943254684,0.0,0.0,241,155759.6031863202,0.17877978070642117,0.06242865303233518,0.01660659238036876
QQQ,2014,2014-12-11,2014-12-12,-0.00953762489458132,0.00953762489458132,0.9478247523022437,0.0,0.001833823378891708,0.013994832246838635,0.008458075299207472,0.006211255915437985,0.00806444879658651,0.010062645938940355,1.7353736876303703,0.0014610743340517374,0.004032224398293255,0.006048336597439883,0.0,0.0,233,125272.53261150004,0.2144039020154196,0.10572178293475373,0.01521947901441112
SPY,2014,2014-12-11,2014-12-12,-0.007590984050272476,0.007590984050272476,0.9860877558176948,0.0,0.0015204902450927094,0.012163996802749396,0.008289033851730297,0.005258754399636079,0.006663810547142509,0.007698081641808638,1.8253815465935488,0.008912089777135757,0.0033319052735712546,0.0049978579103568815,1.0,1.0,433,338783.18868057523,0.2975325871890627,0.15367317251089183,0.013644759095330085
IWM,2014,2014-12-12,2014-12-15,0.004794726319828468,0.004794726319828468,0.3242739769078735,1.0,0.0006098596930534939,0.012110118526148258,0.015213226042718403,0.011042686238633794,0.014353505910062455,0.014786034838653284,0.8437045696033413,0.004164460512257717,0.0071767529550312275,0.01076512943254684,0.0,0.0,208,147491.25018370562,0.1611884685896331,0.0,0.0200322247653798
QQQ,2014,2014-12-12,2014-12-15,0.00516215826189792,0.00516215826189792,0.5019786104360325,1.0,0.0013617293354047932,0.012936428686346018,0.008878824231871798,0.006656430381493362,0.00806444879658651,0.01028362196033398,1.6041305503510297,0.0036822179655982,0.004032224398293255,0.006048336597439883,0.0,0.0,204,83712.00771437374,0.1417605494572044,0.0,0.02078768260767212
SPY,2014,2014-12-12,2014-12-15,0.005425836732551703,0.005425836732551703,0.6683043558727771,1.0,0.008636004763477145,0.014656539822585704,0.009370162334150688,0.00637765529176894,0.006663810547142509,0.008118810965201312,2.1994232457389615,0.002723057052143707,0.0033319052735712546,0.0049978579103568815,0.0,0.0,334,198087.8756506621,0.1570969677256208,0.0,0.019724642539748247
QQQ,2014,2014-12-15,2014-12-16,-0.006298586613562529,0.006298586613562529,0.5700615692146751,0.0,0.015406941714233291,0.021899246153698298,0.009166276412883569,0.006986121375208358,0.008090524374912887,0.011048958487483293,2.7067771060184334,0.010104063080042192,0.004045262187456444,0.006067893281184665,1.0,1.0,204,91164.91797915625,0.12229285904387532,0.10583280781217508,0.020340049264114837
SPY,2014,2014-12-15,2014-12-16,-0.004661383897483828,0.004661383897483828,0.5259014846515253,0.0,0.012228939860138621,0.018566195065468576,0.009369468446966773,0.006513563368373215,0.007364894548783496,0.008863606651676542,2.5209043989007642,0.003638942780158194,0.003682447274391748,0.005523670911587623,0.0,0.0,326,225963.45357532182,0.18560028964972297,0.1400529479470366,0.018829250263162928
SPY,2014,2014-12-16,2014-12-17,0.0026779787251267617,0.0026779787251267617,0.27399797210778676,1.0,0.0033739458292246782,0.022862288469486916,0.008694867140674504,0.006674171084144256,0.007527682295683053,0.009773717318146006,3.0370952932747834,0.019653264707230278,0.0037638411478415263,0.00564576172176229,1.0,1.0,312,220447.86347977808,0.1328030307248012,0.10980301932285853,0.019842937684198928
IWM,2014,2014-12-17,2014-12-18,0.013431428719497873,0.013431428719497873,0.7893678478535363,1.0,0.02859908498288899,0.030799014596957292,0.017286388454449,0.013142990688995587,0.015814121661399925,0.017015424121999474,1.9475640352592842,0.0023636567741083248,0.007907060830699962,0.011860591246049944,0.0,0.0,206,175236.03701995,0.12008469399836923,0.10488792616997564,0.015719436517045996
QQQ,2014,2014-12-17,2014-12-18,0.014341837335018148,0.014341837335018148,1.1437204738364777,1.0,0.017491253839289733,0.021689136459323546,0.014101233472213039,0.008727498635417505,0.010703463049990843,0.012539635044662722,2.0263662665086795,0.009684291877901652,0.0053517315249954215,0.008027597287493133,1.0,1.0,202,124279.83561911667,0.22018017007004645,0.19268820419163143,0.015614163741073198
