date,next_date,spy_close,gap,abs_gap,gap_sign,gap_followthrough,gap_direction_success,mfe_from_open,mae_from_open,excursion_efficiency,gap_fill,gap_retention_close,day_abs_oc,day_range,rv5,monthly_opex_week,quarterly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
2025-03-18,2025-03-19,561.02001953125,0.003226261979217826,0.003226261979217826,1.0,0.007639940412563995,1.0,0.01442708254824887,0.0021366597165364265,0.8710038056388387,0.0,0.010890850841058342,0.006692578511712566,0.010508722059588561,0.014059053749941559,True,True,1349,70832.91989055392,0.1510405039420091,0.10601867484454548,0.018371032165893877
2025-03-19,2025-03-20,567.1300048828125,-0.006700382205582556,0.006700382205582556,-1.0,-0.0038342944260092438,0.0,0.0012976209306549968,0.012852129328695616,0.09170627798165462,1.0,0.0028917790177164227,0.007639940412563995,0.016612610958172066,0.014607740335933215,True,True,1394,84281.21118022002,0.1786430020323371,0.14573732547737336,0.01612108988666055
2025-03-20,2025-03-21,565.489990234375,-0.010981557666345565,0.010981557666345565,-1.0,-0.008403574105415146,0.0,0.00224002282023239,0.010030727109307636,0.18254978979237974,0.0,0.0026702678945725866,0.0038342944260092438,0.014053271154165293,0.012240117346941056,True,True,1350,83895.56565236411,0.22305424183719705,0.18114684138809145,0.014935416469431747
2025-03-21,2025-03-24,563.97998046875,0.01209264080358019,0.01209264080358019,1.0,0.005746372401929101,1.0,0.007620947291735902,0.001052219524891207,0.8786810461348417,0.0,0.017908502022889516,0.008403574105415146,0.012131046473022955,0.008794806705089076,True,True,1280,38888.281865296856,0.16292608703357803,0.08099346719215744,0.017807917438544558
2025-03-27,2025-03-28,567.0800170898438,-0.002733278807676931,0.002733278807676931,-1.0,0.017452753418974454,1.0,0.018844509403561638,0.0013084897282908958,0.9350722083730565,0.0,0.020138328985595644,0.0001762678289581876,0.010482107830166431,0.010969732137200395,False,False,1384,51254.92938493805,0.17060773831500065,0.11663901761621892,0.016994212180118914
2025-03-28,2025-03-31,555.6599731445312,-0.010491948919219896,0.010491948919219896,-1.0,-0.017387187424202866,0.0,0.005412661142657704,0.019787942718003215,0.2147829937959173,1.0,-0.0067128130226792315,0.017452753418974454,0.019750320712247575,0.014491663761132836,False,False,1140,41955.94222303772,0.1561281489069965,0.11338125609793125,0.018678929228811213
2025-03-31,2025-04-01,559.3900146484375,-0.0034680676998238846,0.0034680676998238846,-1.0,-0.006314393073842961,0.0,0.006809022505997575,0.009848399164329225,0.40876809393178976,1.0,-0.0028244266313557365,0.017387187424202866,0.02490736695887371,0.010894212868110811,False,False,1232,39792.74243625396,0.1845473375537601,0.0915480191116929,0.019191527031752514
2025-04-01,2025-04-02,560.969970703125,-0.010553119096082919,0.010553119096082919,-1.0,-0.017061583544820458,0.0,0.00043256292321891543,0.022286272208335678,0.019039837241396285,1.0,-0.006328411525621025,0.006314393073842961,0.016553763068946955,0.010968229997914955,False,False,1300,47330.24738532173,0.1396445927036898,0.06488599532498673,0.019863566787100252
2025-04-02,2025-04-03,564.52001953125,-0.034383252157832556,0.034383252157832556,-1.0,0.015428029884844818,1.0,0.015669783777249258,0.005246620734195462,0.7491623987609967,0.0,0.04928081620084812,0.017061583544820458,0.02247889550265414,0.011136568292100177,False,False,1230,46596.7613293906,0.1355257338724183,0.07220742018747228,0.018602501958999547
2025-04-03,2025-04-04,536.7000122070312,-0.024278049190445516,0.024278049190445516,-1.0,0.03511750669507907,1.0,0.03684707844913704,0.004201142472985087,0.8976534822068022,0.0,0.058542971330535654,0.015428029884844818,0.019963788893530784,0.02425718364009836,False,False,1251,37528.835230010634,0.15079204978106983,0.0751814352145256,0.018717395883334292
2025-04-04,2025-04-07,505.2799987792969,-0.0318437230382409,0.0318437230382409,-1.0,-0.031051334584920598,0.0,0.015338345445564894,0.06946172305068732,0.18087656905893632,1.0,0.0017811785518102585,0.03511750669507907,0.03877398376239709,0.032625552126684686,False,False,820,14219.009049687716,0.04345577673630613,0.01661568346126386,0.028532586291508774
