sample,date,symbol,year,target,near_gamma_share_0_5,vol_residual
POOLED,2020-03-27,IWM,2020,next_rth_range,0.061314980592654326,-0.146810701889172
POOLED,2020-03-27,QQQ,2020,next_rth_range,0.14923374182177637,-0.028987725085808158
POOLED,2020-03-27,SPY,2020,next_rth_range,0.06134860225252838,-0.08017431144478326
POOLED,2020-03-30,IWM,2020,next_rth_range,0.2112484453617514,-0.07907939655591179
POOLED,2020-03-30,QQQ,2020,next_rth_range,0.048250746071982376,-0.05565207238693981
POOLED,2020-03-30,SPY,2020,next_rth_range,0.051867318777465476,-0.14609903147089698
POOLED,2020-03-31,IWM,2020,next_rth_range,0.3623200837262973,0.10236689977772073
POOLED,2020-03-31,QQQ,2020,next_rth_range,0.2532136226075473,0.09775167792915784
POOLED,2020-03-31,SPY,2020,next_rth_range,0.07358357785150663,0.6839111045246389
POOLED,2020-04-01,IWM,2020,next_rth_range,0.16176541927456026,0.2577110318956395
POOLED,2020-04-01,QQQ,2020,next_rth_range,0.06739363917186994,0.3388502470314103
POOLED,2020-04-01,SPY,2020,next_rth_range,0.18399850516223767,-0.21633705746386722
POOLED,2020-04-02,IWM,2020,next_rth_range,0.08548350646107578,0.09084401653025642
POOLED,2020-04-02,QQQ,2020,next_rth_range,0.03177458530015968,-0.26526451177207777
POOLED,2020-04-02,SPY,2020,next_rth_range,0.07381484631987367,0.08986751721079589
POOLED,2020-04-03,IWM,2020,next_rth_range,0.2688316823820506,-0.11184986370329586
POOLED,2020-04-03,QQQ,2020,next_rth_range,0.07941960065268146,0.32009158283027883
POOLED,2020-04-03,SPY,2020,next_rth_range,0.10364607684887517,0.8941143095354027
POOLED,2020-04-06,IWM,2020,next_rth_range,0.028542971141916,0.3011175048279515
POOLED,2020-04-06,QQQ,2020,next_rth_range,0.06245385599274541,-0.1584278056807844
POOLED,2020-04-06,SPY,2020,next_rth_range,0.13338100117144056,-0.19491810952055522
POOLED,2020-04-07,IWM,2020,next_rth_range,0.04371505421814912,0.11672760259476389
POOLED,2020-04-07,QQQ,2020,next_rth_range,0.06635941409393442,-0.26960725241868255
POOLED,2020-04-07,SPY,2020,next_rth_range,0.14555635945084378,0.2508333339626545
POOLED,2020-04-08,IWM,2020,next_rth_range,0.08416567001811279,-0.5080895001151782
POOLED,2020-04-08,QQQ,2020,next_rth_range,0.2084178199754589,-0.33035461466219873
POOLED,2020-04-08,SPY,2020,next_rth_range,0.1614603811233703,-0.43663614618266067
POOLED,2020-04-09,IWM,2020,next_rth_range,0.04430894572365152,0.09529280337236701
POOLED,2020-04-09,QQQ,2020,next_rth_range,0.21474488341233633,-0.1161107091230722
POOLED,2020-04-09,SPY,2020,next_rth_range,0.07399324912665571,-0.09492958481651215
POOLED,2020-04-13,IWM,2020,next_rth_range,0.1659971579949492,-0.242273964377675
POOLED,2020-04-13,QQQ,2020,next_rth_range,0.13335457651421634,0.08408484341709821
POOLED,2020-04-13,SPY,2020,next_rth_range,0.1684101128485828,0.3242400990733669
POOLED,2020-04-14,IWM,2020,next_rth_range,0.06558549780496696,-0.4292275035791291
POOLED,2020-04-14,QQQ,2020,next_rth_range,0.11543405915949663,-0.22297294143330948
POOLED,2020-04-14,SPY,2020,next_rth_range,0.13115716515656253,0.10703852179997053
POOLED,2020-04-15,IWM,2020,next_rth_range,0.07783062906811772,0.08181391637132185
POOLED,2020-04-15,QQQ,2020,next_rth_range,0.21349760217336838,-0.1579602468229373
POOLED,2020-04-15,SPY,2020,next_rth_range,0.08688389568821306,-0.6383096154824388
POOLED,2020-04-16,IWM,2020,next_rth_range,0.05819563856998825,-0.42865329823844833
POOLED,2020-04-16,QQQ,2020,next_rth_range,0.06805868257978613,-0.18522306896491303
POOLED,2020-04-16,SPY,2020,next_rth_range,0.24498860858347754,-0.18764319306914246
POOLED,2020-04-17,IWM,2020,next_rth_range,0.04760100271102646,0.10781039624511468
POOLED,2020-04-17,QQQ,2020,next_rth_range,0.13333704963248516,-0.4289071257485486
POOLED,2020-04-17,SPY,2020,next_rth_range,0.07769331633446559,-0.039157187635685986
POOLED,2020-04-20,IWM,2020,next_rth_range,0.024949828199164432,-0.34124571585245844
POOLED,2020-04-20,QQQ,2020,next_rth_range,0.13837483791219762,0.5372181856361871
POOLED,2020-04-20,SPY,2020,next_rth_range,0.05322431541060156,0.02934136557564626
POOLED,2020-04-21,IWM,2020,next_rth_range,0.06617436772791704,-0.4643042785321603
POOLED,2020-04-21,QQQ,2020,next_rth_range,0.17626322985919493,-0.4185885870547499
POOLED,2020-04-21,SPY,2020,next_rth_range,0.08080707361147296,-0.38045820853893453
POOLED,2020-04-22,IWM,2020,next_rth_range,0.023206759555631454,0.10318789237419956
