symbol,year,date,next_date,day_abs_oc,day_range,rv5,median20_range,next_rth_range,next_max_excursion,next_abs_oc,next_range_vs_20d,monthly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
IWM,2023,2023-09-12,2023-09-13,0.0007607009060839331,0.008693712796647443,0.004435927647802931,0.012368489081083022,0.013495964732596545,0.011568620085599557,0.008292676310552194,1.0911571044872361,True,315,116138.73994151123,0.3817921139534418,0.35151721737121944,0.013887525266897667
QQQ,2023,2023-09-12,2023-09-13,0.006608523306828151,0.011858161689740467,0.009407470676445194,0.012240319137780863,0.010615745296723584,0.0075328996804255866,0.0031632648302888366,0.8672768395357534,True,861,77263.66092014522,0.17967813018066783,0.1459518437657657,0.013888924990143686
SPY,2023,2023-09-12,2023-09-13,0.00214794036567012,0.00702535864213134,0.005474364325290596,0.009264901568789757,0.005893964581636231,0.0033391381612184468,0.0006499227827718723,0.6361605180448927,True,984,114390.76708890792,0.32880973011695874,0.2665506517890052,0.012454596562333893
IWM,2023,2023-09-13,2023-09-14,0.008292676310552194,0.013495964732596545,0.004748024061291039,0.013043923556297498,0.009917096640982595,0.008345572834278059,0.005527579684650119,0.7602847868726357,True,366,120436.77988350784,0.07653564148203415,0.06548334738888315,0.014900211430939126
QQQ,2023,2023-09-13,2023-09-14,0.0031632648302888366,0.010615745296723584,0.009070288477781857,0.012172508915603307,0.011649178113768664,0.006063987974455509,0.003404342702046259,0.9570071539513262,True,912,84307.88894712689,0.3340790633463863,0.2937183751165155,0.012264857531346809
SPY,2023,2023-09-13,2023-09-14,0.0006499227827718723,0.005893964581636231,0.004644947728025834,0.00849362826003952,0.007482096993257142,0.004475870610961774,0.002872554404223182,0.8809070475168557,True,1020,117718.74573096648,0.3283385737829888,0.26788985045141356,0.011168546451529145
IWM,2023,2023-09-14,2023-09-15,0.005527579684650119,0.009917096640982595,0.007819434275876624,0.012368489081083022,0.012338406412275337,0.010941517990370908,0.006385587524504799,0.9975677976015926,True,345,128617.08597689128,0.49988057323116825,0.47289970613943244,0.010361885825327289
QQQ,2023,2023-09-14,2023-09-15,0.003404342702046259,0.011649178113768664,0.008738928329969212,0.011753669901754565,0.017185022770670685,0.016357590845617276,0.013567093330402069,1.4620984691858105,True,914,80028.99381517872,0.22751432126622312,0.19631257838748575,0.012807418856266678
SPY,2023,2023-09-14,2023-09-15,0.002872554404223182,0.007482096993257142,0.005491748513893424,0.007969260678866193,0.01019814243683611,0.009527682409392169,0.008431407182857842,1.2796848851839824,True,893,121238.18490358326,0.4649561083016395,0.3969386241443096,0.009158351797325144
IWM,2023,2023-09-15,2023-09-18,0.006385587524504799,0.012338406412275337,0.009454185075225626,0.012241751097221466,0.007566681615351754,0.007292876386820302,0.007131178989419618,0.6181045142364624,True,312,26621.886797589585,0.22911463748635244,0.16405584803935258,0.016580115541639344
QQQ,2023,2023-09-15,2023-09-18,0.013567093330402069,0.017185022770670685,0.01257389674915936,0.011753669901754565,0.007473220272093306,0.00668797024726242,0.0036282798421864992,0.6358201595382322,True,758,32302.66260695348,0.23921343925885508,0.1741859394621119,0.014112834510193259
SPY,2023,2023-09-15,2023-09-18,0.008431407182857842,0.01019814243683611,0.009818838857838722,0.007969260678866193,0.005439575055886328,0.004333627086412495,0.0013091459334715339,0.6825695977434422,True,919,61191.840488274014,0.2723848820207801,0.1649034241756966,0.012184644513763703
IWM,2023,2023-09-18,2023-09-19,0.007131178989419618,0.007566681615351754,0.009671702452116524,0.012055199465510792,0.012219823883026825,0.007842260515308341,0.004438669477782153,1.013655884996927,False,306,30376.99409406148,0.22614802013970856,0.11096946640850966,0.01678814262789349
QQQ,2023,2023-09-18,2023-09-19,0.0036282798421864992,0.007473220272093306,0.01051641866531784,0.011132461705246125,0.010505807445753461,0.006870282483957935,0.0014891903554141717,0.9437092822697646,False,856,38891.299880008635,0.31180318923440714,0.24286842528741975,0.012774597366290377
SPY,2023,2023-09-18,2023-09-19,0.0013091459334715339,0.005439575055886328,0.009006001266214498,0.007619025106074777,0.0075675570591444575,0.00622809978444705,6.776628669280527e-05,0.9932447988799402,False,1028,69601.48733897119,0.301163675428317,0.19521007866016826,0.011326152958647617
IWM,2023,2023-09-19,2023-09-20,0.004438669477782153,0.012219823883026825,0.00967425770631229,0.01218245983259721,0.020230193564103563,0.014347605756760196,0.013925402253984198,1.6606000628848891,False,304,34112.42543093686,0.2049081294794477,0.11691297114487315,0.016401554105585157
QQQ,2023,2023-09-19,2023-09-20,0.0014891903554141717,0.010505807445753461,0.009585216392336934,0.010600472582922378,0.018466116398703773,0.017807224123674636,0.017279966171107386,1.7420087882169648,False,869,39525.76636823751,0.20310296348089502,0.1511814347122592,0.013481766479821827
SPY,2023,2023-09-19,2023-09-20,6.776628669280527e-05,0.0075675570591444575,0.00881507591713881,0.0075248270262008,0.01353575287367382,0.012727270449241823,0.012094310936868524,1.798812494499009,False,1026,70056.7752810453,0.22558808336425792,0.152213821210353,0.01170867029413235
IWM,2023,2023-09-20,2023-09-21,0.013925402253984198,0.020230193564103563,0.010131795954701109,0.01218245983259721,0.009467715308779762,0.008075860488122588,0.008011163449754943,0.777159575231804,False,339,65693.04608234165,0.23600647611806366,0.03337850545406727,0.017159421231677612
QQQ,2023,2023-09-20,2023-09-21,0.017279966171107386,0.018466116398703773,0.010468415454569684,0.011132461705246125,0.010837039341456354,0.008694638738391713,0.008148565800654262,0.9734629795626825,False,889,50682.41654193051,0.17887280116422122,0.10569857319911798,0.018177473157790502
SPY,2023,2023-09-20,2023-09-21,0.012094310936868524,0.01353575287367382,0.009254721516995417,0.0075248270262008,0.010879022496154309,0.010365700685996293,0.009892121730182057,1.4457505080548017,False,1053,102138.52406815428,0.22930679327161876,0.1185030785643136,0.015265274273514737
IWM,2023,2023-09-21,2023-09-22,0.008011163449754943,0.009467715308779762,0.00437974037237436,0.01136005888540737,0.010193723718634664,0.005663797087832156,0.00501238680944871,0.8973301830089165,False,307,62217.97809269536,0.11292365582490975,0.026447559713248962,0.019653212303407018
QQQ,2023,2023-09-21,2023-09-22,0.008148565800654262,0.010837039341456354,0.00854882646429086,0.01072639231908997,0.011706452181179862,0.006033931765129896,0.00478269665308817,1.0913690114005676,False,854,41211.590745845,0.07852927103696093,0.04761955320047312,0.020500702567132344
SPY,2023,2023-09-21,2023-09-22,0.009892121730182057,0.010879022496154309,0.007714867097161683,0.0075248270262008,0.009504025328071895,0.005721114510864211,0.004694181343495973,1.263022431609351,False,1027,92284.49341350404,0.20891725140188006,0.10522970862686076,0.016782551087343608
IWM,2023,2023-09-22,2023-09-25,0.00501238680944871,0.010193723718634664,0.005282179503450109,0.010508222728847716,0.013205118629288467,0.012351289992548198,0.010074587329186535,1.2566462445677986,False,275,61541.734777970225,0.18487125386077735,0.0592725100207511,0.01977818986017599
QQQ,2023,2023-09-22,2023-09-25,0.00478269665308817,0.011706452181179862,0.00867952439556724,0.01072639231908997,0.010562350064749286,0.007760680212060889,0.007508454685161814,0.9847066702894379,False,758,37068.367312615504,0.10479017208442902,0.08334706798433772,0.01923966112813668
SPY,2023,2023-09-22,2023-09-25,0.004694181343495973,0.009504025328071895,0.00696157734461654,0.0075248270262008,0.008271751711205037,0.0072231877553101675,0.00713003579666216,1.0992613760294436,False,937,84228.07955234617,0.20148608354589298,0.1167508097177746,0.01680103279163661
IWM,2023,2023-09-25,2023-09-26,0.010074587329186535,0.013205118629288467,0.007634678026005777,0.010508222728847716,0.015555618155715812,0.008660993005475515,0.00649572301793977,1.4803281731944762,False,273,69646.91713755926,0.17335455736787958,0.053811165870803715,0.018482776911434164
QQQ,2023,2023-09-25,2023-09-26,0.007508454685161814,0.010562350064749286,0.00988495650405564,0.010589047680736435,0.012129239497726419,0.010701845561403411,0.007787329772108498,1.1454514006761813,False,833,42635.50764035797,0.25425205483086205,0.18554390559232287,0.017675925944520963
SPY,2023,2023-09-25,2023-09-26,0.00713003579666216,0.008271751711205037,0.007924878147616716,0.0075248270262008,0.01118650714654988,0.00957603743217783,0.007480928202647674,1.4866131949079262,False,1010,95577.45271928451,0.16979845192791765,0.13324714580109523,0.01514150290867535
IWM,2023,2023-09-26,2023-09-27,0.00649572301793977,0.015555618155715812,0.009199673729526877,0.01136005888540737,0.014078005157462097,0.008435427490920189,0.0030778486994285092,1.239254593613602,False,283,65592.92948684748,0.21843954065803933,0.08455465566689685,0.018882519188133214
QQQ,2023,2023-09-26,2023-09-27,0.007787329772108498,0.012129239497726419,0.010296738776873812,0.01072639231908997,0.015814130107344795,0.01144131289517114,0.0009567120637604676,1.474319569609633,False,804,39232.7688445455,0.15366347441888503,0.09467888872058415,0.018644486585807564
SPY,2023,2023-09-26,2023-09-27,0.007480928202647674,0.01118650714654988,0.008667456833088769,0.0075248270262008,0.012596888077322536,0.011366567278037198,0.002435103968342678,1.67404354059718,False,922,89047.69389560353,0.24910091294117068,0.15359812580181784,0.015267872241049417
IWM,2023,2023-09-27,2023-09-28,0.0030778486994285092,0.014078005157462097,0.011900773692309225,0.01136005888540737,0.0147652118665878,0.014083769878496355,0.008461613516675737,1.2997478283809374,False,321,71352.09932240637,0.10284736655122684,0.05840274443596207,0.017416026344697313
QQQ,2023,2023-09-27,2023-09-28,0.0009567120637604676,0.015814130107344795,0.010642150901557536,0.01072639231908997,0.0195702563611111,0.01711340636202463,0.011013596270634807,1.8244956718841556,False,848,44975.23798388227,0.1671771437510169,0.10541211160515279,0.01737682753955491
