symbol,year,date,next_date,gap,abs_gap,gap_atr20,gap_up,day_abs_oc,day_range,rv5,rv20,median20_range,atr20,range20_ratio,adv20_dollar,log_adv20_dollar,prior_cc_aligned,prior_oc_aligned,signed_gex_to_adv,gross_gex_to_adv,followthrough_oc,continued,mfe,mae,excursion_efficiency,rth_range,eligible_contracts,call_dgamma,put_dgamma,signed_dgex,gross_dgex
IWM,2008,2008-01-28,2008-01-29,0.005863844393592554,0.005863844393592554,0.18222436241944684,1.0,0.021177157879363362,0.03300715641886965,0.018681576451003414,0.01664599754810591,0.028419297535864876,0.03217925592240552,1.1614346335343069,8134280503.1,22.819353129096246,0.021177157879363362,0.021177157879363362,-0.14348150235309698,0.3913009270770602,-0.003270297170482106,0.0,0.0008531210009954382,0.017204606853405302,0.047244094488196046,0.018057727854400626,528,1007916357.410796,2175035144.55709,-1167118787.1462936,3182951501.967886
SPY,2008,2008-01-28,2008-01-29,0.00635907252443535,0.00635907252443535,0.2565225575201731,1.0,0.014858247593360518,0.02596432635315642,0.016689933255688683,0.013539325987629938,0.021720063082850963,0.02478952566943462,1.1954075020001442,37676460104.157906,24.352301335961034,0.016536471104594774,0.014858247593360518,-0.03198075518950405,0.12798303172915518,-0.0013960469627020133,0.0,0.0025715722598864676,0.008964004013342963,0.22292533974694492,0.011535576273229443,1280,1808512970.9772496,3013434617.97544,-1204921646.9981904,4821947588.95269
IWM,2008,2008-01-29,2008-01-30,-0.005420827389443605,0.005420827389443605,0.16860722613979776,0.0,0.003270297170482106,0.018057727854400626,0.017149710682692047,0.016667979138501533,0.028419297535864876,0.032150623158636274,0.6354037369013766,8213811729.4,22.82908293152172,-0.0025743707093819346,0.003270297170482106,-0.10783319140688573,0.3013236653770235,0.007171543316121576,1.0,0.008892713711990852,0.024096385542168752,0.2695652173913044,0.03298909925415966,531,794647162.3115416,1680368694.7080548,-885721532.3965132,2475015857.019596
IWM,2008,2008-01-30,2008-01-31,-0.011123952614851107,0.011123952614851107,0.33717763163655573,0.0,0.007171543316121576,0.03298909925415966,0.012881102104437629,0.016748380515372772,0.029645109893032554,0.03299137182042263,1.112800707205779,8369550061.6,22.84786596392164,0.012553495007132653,0.007171543316121576,-0.11648710854355053,0.27949874492442706,-0.036376917457998426,0.0,0.006574141709276837,0.04543462381300212,0.12640449438202253,0.052008765522279066,512,682167025.6565411,1657111712.1428204,-974944686.4862792,2339278737.799361
SPY,2008,2008-01-30,2008-01-31,-0.011192720741450723,0.011192720741450723,0.4352718616774274,0.0,0.004941716994516843,0.029060237069475792,0.012438423785625083,0.013692667249182373,0.023385995077093776,0.02571432184547105,1.242634190834148,39436283627.98531,24.397952133741704,0.007357810099100526,0.004941716994516843,-0.04533772269403174,0.1496267145412565,-0.029760128774818373,0.0,0.0014992279534884467,0.038530728869448305,0.037452649777263924,0.04002995682293669,1264,2056385130.881902,3844336422.090684,-1787951291.208782,5900721552.972586
IWM,2008,2008-01-31,2008-02-01,0.005215675218494642,0.005215675218494642,0.1520384281070219,1.0,0.036376917457998426,0.052008765522279066,0.016709521956908675,0.017915231083890377,0.03176935333871438,0.03430497988852699,1.6370734703907484,8432604334.0,22.855371497666702,0.024848309737070196,0.036376917457998426,-0.09023983142204456,0.25311292080059417,0.018510727808161542,1.0,0.02201654746879811,0.004347216379189445,0.8351063829787231,0.026363763847987595,509,686722159.6927633,1447678953.2417257,-760956793.5489624,2134401112.934489
SPY,2008,2008-01-31,2008-02-01,0.004149428701660796,0.004149428701660796,0.15581853507800472,1.0,0.029760128774818373,0.04002995682293669,0.014396746321951669,0.014497830369008471,0.02511882299238601,0.02662987878549583,1.593623906465304,40311789363.19257,24.41990980314715,0.018234311222761423,0.029760128774818373,-0.026543306705105664,0.14920436746311933,0.011889227027849447,1.0,0.012106705638586401,0.003044787544660088,0.7990437306847875,0.015151493183246519,1253,2472343422.1714067,3542351611.0702434,-1070008188.8988366,6014695033.24165
SPY,2008,2008-02-01,2008-02-04,-0.002650773711838861,0.002650773711838861,0.098339587874314,0.0,0.011889227027849447,0.015151493183246519,0.010884275414292327,0.01508529441594536,0.02511882299238601,0.026955306292586516,0.6031928003887452,40849010370.12027,24.433148432013322,-0.01608798922938015,-0.011889227027849447,-0.017872310822238554,0.17036791134015072,0.009984914374725817,1.0,0.01127798233642785,0.000646476513717964,0.9457856728056,0.011924458850145845,1251,3114647183.476956,3844713393.5925913,-730066210.1156354,6959360577.069548
IWM,2008,2008-02-04,2008-02-05,-0.01532246831034978,0.01532246831034978,0.45822271549876814,0.0,0.01033912324234909,0.012682657843947993,0.0182741476376963,0.017649509168312174,0.03176935333871438,0.03343891036408249,0.3992104500437787,8258731613.3,22.834536854976243,0.011565468814539348,0.01033912324234909,-0.03608521830124278,0.28201326202785754,0.010468241618333485,1.0,0.01259018248691468,0.01244871976234263,0.5028248587570616,0.025038902249257266,531,1015526854.6610091,1313544987.8183146,-298018133.1573055,2329071842.4793234
SPY,2008,2008-02-04,2008-02-05,-0.013641016576062204,0.013641016576062204,0.5189289996636952,0.0,0.009984914374725817,0.011924458850145845,0.013733318679273708,0.014357580244273567,0.02511882299238601,0.026286865033371815,0.4747220382802321,40066744884.34636,24.41381252256585,0.012609220338025251,0.009984914374725817,-0.03676111368994654,0.18647882742361957,0.013314675396282394,1.0,0.016698572654133104,0.0022804030854730595,0.8798458295768715,0.01897897573960612,1258,2999350720.4173384,4472248884.296879,-1472898163.8795404,7471599604.714217
IWM,2008,2008-02-05,2008-02-06,0.00671908506075769,0.00671908506075769,0.20003034167739273,1.0,0.010468241618333485,0.025038902249257266,0.023092217842640046,0.01853647522898382,0.03176935333871438,0.033590329369102286,0.7881464247100259,8194806641.8,22.826766454208567,-0.025630310628221298,-0.010468241618333485,-0.2294993182339524,0.5507180291193848,-0.020732746378869793,0.0,0.006532235160465749,0.022436807725078056,0.225490196078431,0.028969042885543767,544,1316162612.7171881,3196865150.069353,-1880702537.352165,4513027762.786541
SPY,2008,2008-02-05,2008-02-06,0.0033549316575363086,0.0033549316575363086,0.12407843843435384,1.0,0.013314675396282394,0.01897897573960612,0.01930316447167364,0.015457029706827883,0.02511882299238601,0.027038796586010404,0.7555678761444757,40331803454.31789,24.420406162270968,-0.026774066264559027,-0.013314675396282394,-0.06557150491971174,0.16488879704473636,-0.011368695030930409,0.0,0.0049784365436402744,0.01612422327055707,0.2359151210072062,0.021102659814197455,1273,2002822752.8007832,4647439801.426435,-2644617048.6256523,6650262554.227219
IWM,2008,2008-02-06,2008-02-07,-0.00551044083526675,0.00551044083526675,0.16800442662065238,0.0,0.020732746378869793,0.028969042885543767,0.023315858105774308,0.01748786518470749,0.029759325154406435,0.03279937883844642,0.9734442140484609,7979719345.9,22.800169078102943,0.014152966404574863,0.020732746378869793,-0.27546744672242346,0.6271319900802748,-0.022309711286089273,0.0,0.0016039661708953101,0.028288130650335308,0.053658536585366144,0.02989209682123064,542,1403092179.949868,3601245093.7264676,-2198152913.7766,5004337273.676335
SPY,2008,2008-02-06,2008-02-07,-0.009394964087298785,0.009394964087298785,0.3542857601735012,0.0,0.011368695030930409,0.021102659814197455,0.019349419575669848,0.015182915214539634,0.023385995077093776,0.026518040360125884,0.902363134201939,39733430224.563675,24.405458741444253,0.008051904568258328,0.011368695030930409,-0.09099081811653931,0.18060672891932014,-0.016160773532000627,0.0,0.0005311608376822319,0.02268581131974634,0.02287812700469988,0.023216972157428628,1251,1780373769.446507,5395751092.155986,-3615377322.709479,7176124861.602493
SPY,2008,2008-02-07,2008-02-08,-0.006271911027427413,0.006271911027427413,0.236178990689165,0.0,0.016160773532000627,0.023216972157428628,0.016739906617023403,0.01503766332309165,0.023886579477530617,0.026555753367927083,0.9719672161210077,39606397616.94107,24.402256498141444,-0.006613979557745564,-0.016160773532000627,-0.07040194286620925,0.18402596243371616,0.00015019160418350275,1.0,0.007438500486543043,0.008490532977399656,0.4669775164564122,0.015929033463942612,1254,2250119048.912885,5038486391.077137,-2788367342.164252,7288605439.990023
IWM,2008,2008-02-11,2008-02-12,0.007329692440356528,0.007329692440356528,0.23017542516154674,1.0,0.0015784187114363801,0.02109341368919499,0.015717730992164503,0.016931180804657713,0.028854827624169882,0.031843940052298125,0.7310185305534925,7533560773.05,22.74263364521363,-0.0012918042198938329,-0.0015784187114363801,-0.16149268681641657,0.4047902838411485,0.004565558567555916,1.0,0.01369667570266797,0.005278927093736674,0.7218045112781932,0.018975602796404596,526,916448616.5614233,2133063587.096028,-1216614970.5346048,3049512203.6574516
SPY,2008,2008-02-11,2008-02-12,0.008672927102803651,0.008672927102803651,0.3345771284967389,1.0,0.004883500906829319,0.01645381593746878,0.013401954080927326,0.014967842286329242,0.02215981598581304,0.025922056124312115,0.7425068848948337,38099106523.734695,24.36345666798348,0.005110039559853563,0.004883500906829319,-0.06747061040302661,0.21672862868628104,0.0005929953126382337,1.0,0.010377243780972822,0.0068935436396546645,0.6008552782358196,0.017270787420627515,1261,2843298569.0476255,5413868542.013939,-2570569972.9663134,8257167111.061564
IWM,2008,2008-02-12,2008-02-13,0.013350376366993322,0.013350376366993322,0.414484495962885,1.0,0.004565558567555916,0.018975602796404596,0.012769855484578057,0.017048529106316164,0.028854827624169882,0.03220959166634011,0.6576231555966712,7551487851.3,22.745010447189664,0.011928715148030955,0.004565558567555916,-0.10794995935088288,0.26345702061626786,0.00700770847932719,1.0,0.008409250175192895,0.009110021023125303,0.48000000000000914,0.017519271198318153,524,587154841.9684598,1402337648.5549808,-815182806.5865209,1989492490.5234406
SPY,2008,2008-02-12,2008-02-13,0.007556040908362149,0.007556040908362149,0.28764096321161375,1.0,0.0005929953126382337,0.017270787420627515,0.007958753166936824,0.01501392934250517,0.02215981598581304,0.026269001549696757,0.7793741352222628,38627933577.21657,24.37724151949945,0.009271065420560776,0.0005929953126382337,-0.05719407006649939,0.26790469412612006,0.002646864298465612,1.0,0.007720042927727544,0.006396559311688921,0.5468768473316895,0.014116602239416437,1264,4069657995.0944395,6278946734.633848,-2209288739.5394087,10348604729.728287
IWM,2008,2008-02-13,2008-02-14,0.003757828810021069,0.003757828810021069,0.11713406274135459,1.0,0.00700770847932719,0.017519271198318153,0.011569907771273097,0.01710864806858169,0.028854827624169882,0.032081434913760185,0.6071521696994425,7530085497.6,22.7421722329567,0.020451640391989656,0.00700770847932719,-0.013000465921343228,0.3630705738165212,-0.026899611758180786,0.0,0.0008319467554076532,0.029118136439267972,0.027777777777777676,0.029950083194675688,502,1318028921.3023736,1415923541.1987233,-97894619.89634967,2733952462.5010967
